HolderAddress,Balance
0xf4661E2c22A2312590a7E4e3b3FE43AdE75b62e6,33911508.527792258316765664
0x2042422d4D132c462e7B1693ceD1457538810e3E,33588649.67666611948974019
0x59309A6cD7645C5DEC78b3645e6B7525A8dcB737,30727043.623971187648585922
0x2Ab95215eD39C358d6BbF365Eef30B9118f367e9,30604748.40818650462251679
0x94d6Fa4Ab0911e301c9ee06C07DBD21E50be7691,29252961.397735606418669568
0xA5b2eCf18CdA30e8Eb0EC850826d303F63fc266B,29076945.537992176284830096
0x991E0A9C387C029a59511059D7Ff86Ab8B4C0744,27472078.9395882954157071
0x8849d1549970ae317BC61891dD7Ec62DAf3f9010,26454631.59751718298189371
0x929da488A099F2898a7C8b57355EAB6114a9eDFB,25025857.96183396802264984
0xeA310C966D3Ff5E09c65487f1763B21361Eb71eF,24647342.205483379386330198
0x429b6dcA07fE2b1b4c078BC1544e5c8Eb5028FbB,23936337.760056838817040832
0x134CA4fee2a9B53007e1cDc811c8c06Fa05cf4dD,22032676.43844453954125343
0x84B9A30AF419984ad753522b316dBfaE5182a6c6,21857400.319194013387174732
0x3162ce2FbE73458A2cFE70C5421A395E5fF2e732,21243184.718859328479490688
0x0CF8a71e209C1D6599F992205FD4329e3744E78a,21069514.388520945014898915
0x82ae957b436A248c57C1100b0439414a0a091d5b,20801388.441137338849125765
0xbD53F70263D63b10de7DCA216e65158e8f769C94,20000000.008007003747457552
0x721ca4907Bf8f8D05b5CfcAA2B719f9c9f5Ccc53,19270596.493720815556351667
0xbC782A7e2d6C3191af8147E71fFBfBf2ab1Cf26D,19029713.805412142483229768
0x9A5d22a5176ab502beE9296ed22baeb44EF8e611,18757113.522492112227247895
0x03b7De5b445A4B215DcC88E013942169004B1F44,18543490.354683009250587958
0xd0A67cB08BE17475f4315a04C5F0Be3e200Ef66c,17606989.784238663695814283
0x1F96A7b7674a93B918AE05E5f0f40A978FA347c9,17293719.178410238771675955
0xb00527775B00D3C3212A661472B7e4258ff941D0,16939706.561086898599869934
0x7FC061222263A98529533A290c87d35fe2b0e8F8,16866119.4294927246670838
0xcA5b3bbB368Db39d223a9Fa57a577F9a98A03638,16210905.68529234605230152
0x00000000b32489dfb7AfFC3Dd84176AAf2C65D76,16207017.088758261363743516
0x3C710b9E3c2Ecdd522E51A073Ac7e8a2f5f6B14D,16109091.329590593915426996
0xa3ad0DC6b280ee4373306200444e2D5D1133B42C,15933811.635755202353595989
0xD971f1093aBe7dDcE784a6c36FcA828D0546AAF6,15916285.163283470228887316
0xf41938a9641100705aC20732aA8ED32428eCbD1c,15736756.853878675698041488
0xBe02a7b8a3197D61877B128C5ee10E56aEEb2a19,15677481.331371352575329917
0x854f09DBD7c9Fd93B52A1947b3Dd4b41582FFAdc,15424274.663548059503089733
0x4CF6EeC71d8e96B37Fec2Ca5eDB51D3b6fbaC24F,15185851.681067053866811404
0x65Ef89f8F94101785198Cfc419234C102A384F62,14794215.115912223168424898
0x90830a6447A38eEE038e3B1E5c7bdF9d6807A387,14728939.364662919749371564
0x8208722cAD4A324c3F1acA0421F5C73b2488ee27,14671708.4815339551741764
0x1BDAe22095AbA616d18a7C861F5b2F7849449332,14399570.649556565116428649
0xB6333469BFaB2172e71682484C388eb09713d348,14322319.416180633146303878
0x8CC371f92a1Da4eFad7b7588802bE5823F4397F3,14113000.209526132902452419
0x16b44bc6926d97710D7286123B616F775d218643,14067582.808930751130726228
0xf34769Dc3ab267FfB4BCFf29c4F76C2F15aC2D0b,14066881.521848655014648353
0x4aCc7d3828121d4e5F91c440842CD7C6a2082b17,13929512.812847019272572083
0xb0e1bc1fa6a3c432B020E59B62a16f758F3ab904,13783567.970806414587635137
0x85983526FCB1ac1fB3889ced77Ba4ed1445Cf4C4,13675030.700722234519246928
0xAC6eE6D55DB3dE6F57Fe4c2bfAa4C1261465c394,13433558.183734165154292711
0xfa405FEFd9573140A78Cfd97Da99d521c5F38dEF,12780642.180677734919545637
0x6C85391fBb06Ab081EBacBa87F9F6070cEd7af60,12695551.972059622386371148
0xDD238C3Eb92517763A64ea476Fb41ed4deD44d4A,12460049.077968184431425915
0x90199159d5e9EF59fb1bB25480543d2313EA548a,12455198.403085863892446607
0xf9041aE3c0478CC25AeBFe7dd8Bc681B6FFcb5dE,12427277.465759105513258992
0x13eCb1E674241cd487Bb4658e7663b1405c0D555,12246208.037002792567792626
0x9549baf50ef42DCb3EAbd53CF82eD86427BeF8a8,12183703.759256518917231889
0x8184f8265524199db20c01f85D88Dc790A162f9e,11682950.227231238444440144
0x0B033c952613C44981c362090a72C9098C90c01b,11591148.316487399873606952
0x215FCF7bF71E9133F5463907d98Fee0e39310418,11532202.656390068689169304
0x9609B68A086cE6d81147B20F0F6c87D75eC5Fb2F,11037904.128189185147784056
0x8600a0C30844a9589004882147C10aEb581A6dE1,11010340.057786481668138563
0x3770A73Aa4A26A6680bA10a684945cfD2747b5b0,11002041.554460508535873359
